period,coin,long_pnl,short_pnl,long_return_%,short_return_%
Overall,---,---,---,---,---
Overall,1000PEPE/USDT,183300.35,0.00,18515.19,0.00
Overall,1000SHIB/USDT,105962.65,0.00,10703.30,0.00
Overall,AVAX/USDT,157105.11,0.00,15869.20,0.00
Overall,BNB/USDT,56728.41,0.00,5730.14,0.00
Overall,BTC/USDT,78997.98,0.00,7979.59,0.00
Overall,DOGE/USDT,114231.38,0.00,11538.52,0.00
Overall,ETH/USDT,71835.33,0.00,7256.09,0.00
Overall,SOL/USDT,152423.38,0.00,15396.30,0.00
Overall,TRX/USDT,95170.50,0.00,9613.18,0.00
Overall,XRP/USDT,288927.43,0.00,29184.59,0.00
"""",---,---,---,---,---
"Monthly""",---,---,---,---,---
2023-10,1000PEPE/USDT,5035.27,0.00,508.61,0.00
2023-10,1000SHIB/USDT,476.58,0.00,48.14,0.00
2023-10,AVAX/USDT,-1.43,0.00,-0.14,0.00
2023-10,BNB/USDT,-884.16,0.00,-89.31,0.00
2023-10,BTC/USDT,-219.01,0.00,-22.12,0.00
2023-10,DOGE/USDT,2337.52,0.00,236.11,0.00
2023-10,ETH/USDT,1481.97,0.00,149.69,0.00
2023-10,SOL/USDT,-3.08,0.00,-0.31,0.00
2023-10,TRX/USDT,-6.83,0.00,-0.69,0.00
2023-10,XRP/USDT,782.90,0.00,79.08,0.00
2023-11,1000PEPE/USDT,4664.57,0.00,471.17,0.00
2023-11,1000SHIB/USDT,1689.14,0.00,170.62,0.00
2023-11,AVAX/USDT,31731.16,0.00,3205.17,0.00
2023-11,BNB/USDT,-936.49,0.00,-94.60,0.00
2023-11,BTC/USDT,3183.36,0.00,321.55,0.00
2023-11,DOGE/USDT,-3205.69,0.00,-323.81,0.00
2023-11,ETH/USDT,7718.07,0.00,779.60,0.00
2023-11,SOL/USDT,36194.52,0.00,3656.01,0.00
2023-11,TRX/USDT,7006.42,0.00,707.72,0.00
2023-11,XRP/USDT,12408.78,0.00,1253.41,0.00
2023-12,1000PEPE/USDT,-874.94,0.00,-88.38,0.00
2023-12,1000SHIB/USDT,-151.00,0.00,-15.25,0.00
2023-12,AVAX/USDT,49439.76,0.00,4993.92,0.00
2023-12,BNB/USDT,-1658.57,0.00,-167.53,0.00
2023-12,BTC/USDT,4594.97,0.00,464.14,0.00
2023-12,DOGE/USDT,3663.42,0.00,370.04,0.00
2023-12,ETH/USDT,-739.77,0.00,-74.72,0.00
2023-12,SOL/USDT,6978.50,0.00,704.90,0.00
2023-12,TRX/USDT,-1594.74,0.00,-161.08,0.00
2023-12,XRP/USDT,-4051.00,0.00,-409.19,0.00
2024-01,1000PEPE/USDT,-403.21,0.00,-40.73,0.00
2024-01,1000SHIB/USDT,-898.04,0.00,-90.71,0.00
2024-01,AVAX/USDT,85730.70,0.00,8659.67,0.00
2024-01,BNB/USDT,9496.98,0.00,959.29,0.00
2024-01,BTC/USDT,9832.16,0.00,993.15,0.00
2024-01,DOGE/USDT,-4241.50,0.00,-428.43,0.00
2024-01,ETH/USDT,9975.25,0.00,1007.60,0.00
2024-01,SOL/USDT,90832.39,0.00,9174.99,0.00
2024-01,TRX/USDT,-6020.37,0.00,-608.12,0.00
2024-01,XRP/USDT,-806.77,0.00,-81.49,0.00
2024-02,1000PEPE/USDT,1258.25,0.00,127.10,0.00
2024-02,1000SHIB/USDT,312.90,0.00,31.61,0.00
2024-02,AVAX/USDT,-615.13,0.00,-62.13,0.00
2024-02,BNB/USDT,-2.50,0.00,-0.25,0.00
2024-02,BTC/USDT,5829.26,0.00,588.81,0.00
2024-02,DOGE/USDT,-1244.33,0.00,-125.69,0.00
2024-02,ETH/USDT,-3.72,0.00,-0.38,0.00
2024-02,SOL/USDT,-473.93,0.00,-47.87,0.00
2024-02,TRX/USDT,2344.03,0.00,236.77,0.00
2024-02,XRP/USDT,-826.45,0.00,-83.48,0.00
2024-03,1000PEPE/USDT,98018.68,0.00,9900.88,0.00
2024-03,1000SHIB/USDT,114366.35,0.00,11552.16,0.00
2024-03,AVAX/USDT,1636.28,0.00,165.28,0.00
2024-03,BNB/USDT,15182.24,0.00,1533.56,0.00
2024-03,BTC/USDT,17909.77,0.00,1809.07,0.00
2024-03,DOGE/USDT,40745.89,0.00,4115.75,0.00
2024-03,ETH/USDT,26194.02,0.00,2645.86,0.00
2024-03,SOL/USDT,6642.31,0.00,670.94,0.00
2024-03,TRX/USDT,12506.79,0.00,1263.31,0.00
2024-03,XRP/USDT,-2181.98,0.00,-220.40,0.00
2024-04,1000PEPE/USDT,46692.37,0.00,4716.40,0.00
2024-04,1000SHIB/USDT,-672.25,0.00,-67.90,0.00
2024-04,AVAX/USDT,-2241.74,0.00,-226.44,0.00
2024-04,BNB/USDT,18833.60,0.00,1902.38,0.00
2024-04,BTC/USDT,6967.74,0.00,703.81,0.00
2024-04,DOGE/USDT,-7616.50,0.00,-769.34,0.00
2024-04,ETH/USDT,-1479.57,0.00,-149.45,0.00
2024-04,SOL/USDT,11136.80,0.00,1124.93,0.00
2024-04,TRX/USDT,-2107.30,0.00,-212.86,0.00
2024-04,XRP/USDT,-75.67,0.00,-7.64,0.00
2024-05,1000PEPE/USDT,893.02,0.00,90.20,0.00
2024-05,1000SHIB/USDT,-1950.79,0.00,-197.05,0.00
2024-05,AVAX/USDT,-2344.30,0.00,-236.80,0.00
2024-05,BNB/USDT,30315.52,0.00,3062.17,0.00
2024-05,BTC/USDT,788.98,0.00,79.69,0.00
2024-05,DOGE/USDT,-1138.22,0.00,-114.97,0.00
2024-05,ETH/USDT,2734.84,0.00,276.25,0.00
2024-05,SOL/USDT,384.01,0.00,38.79,0.00
2024-05,TRX/USDT,-4103.62,0.00,-414.51,0.00
2024-05,XRP/USDT,-952.52,0.00,-96.21,0.00
2024-06,1000PEPE/USDT,1866.94,0.00,188.58,0.00
2024-06,1000SHIB/USDT,-377.47,0.00,-38.13,0.00
2024-06,AVAX/USDT,-0.74,0.00,-0.08,0.00
2024-06,BNB/USDT,-3710.94,0.00,-374.84,0.00
2024-06,BTC/USDT,-990.96,0.00,-100.10,0.00
2024-06,DOGE/USDT,-1242.04,0.00,-125.46,0.00
2024-06,ETH/USDT,-929.10,0.00,-93.85,0.00
2024-06,SOL/USDT,-2425.57,0.00,-245.01,0.00
2024-06,TRX/USDT,-721.87,0.00,-72.92,0.00
2024-06,XRP/USDT,0.00,0.00,0.00,0.00
2024-07,1000PEPE/USDT,654.10,0.00,66.07,0.00
2024-07,1000SHIB/USDT,-1415.25,0.00,-142.95,0.00
2024-07,AVAX/USDT,-6226.21,0.00,-628.91,0.00
2024-07,BNB/USDT,-473.94,0.00,-47.87,0.00
2024-07,BTC/USDT,2274.32,0.00,229.73,0.00
2024-07,DOGE/USDT,443.37,0.00,44.79,0.00
2024-07,ETH/USDT,253.97,0.00,25.65,0.00
2024-07,SOL/USDT,1518.30,0.00,153.36,0.00
2024-07,TRX/USDT,7524.14,0.00,760.01,0.00
2024-07,XRP/USDT,3066.23,0.00,309.72,0.00
2024-08,1000PEPE/USDT,-2721.71,0.00,-274.92,0.00
2024-08,1000SHIB/USDT,-1705.03,0.00,-172.22,0.00
2024-08,AVAX/USDT,-78.71,0.00,-7.95,0.00
2024-08,BNB/USDT,-4452.42,0.00,-449.74,0.00
2024-08,BTC/USDT,-5809.99,0.00,-586.87,0.00
2024-08,DOGE/USDT,-3247.15,0.00,-328.00,0.00
2024-08,ETH/USDT,-1503.19,0.00,-151.84,0.00
2024-08,SOL/USDT,-6417.53,0.00,-648.24,0.00
2024-08,TRX/USDT,10088.72,0.00,1019.06,0.00
2024-08,XRP/USDT,-4381.23,0.00,-442.55,0.00
2024-09,1000PEPE/USDT,-965.88,0.00,-97.56,0.00
2024-09,1000SHIB/USDT,3417.22,0.00,345.17,0.00
2024-09,AVAX/USDT,1470.73,0.00,148.56,0.00
2024-09,BNB/USDT,1232.56,0.00,124.50,0.00
2024-09,BTC/USDT,942.82,0.00,95.23,0.00
2024-09,DOGE/USDT,1743.10,0.00,176.07,0.00
2024-09,ETH/USDT,43.59,0.00,4.40,0.00
2024-09,SOL/USDT,-409.73,0.00,-41.39,0.00
2024-09,TRX/USDT,666.65,0.00,67.34,0.00
2024-09,XRP/USDT,146.34,0.00,14.78,0.00
2024-10,1000PEPE/USDT,-443.67,0.00,-44.82,0.00
2024-10,1000SHIB/USDT,-2895.82,0.00,-292.51,0.00
2024-10,AVAX/USDT,-5077.32,0.00,-512.86,0.00
2024-10,BNB/USDT,-4284.39,0.00,-432.77,0.00
2024-10,BTC/USDT,-944.87,0.00,-95.44,0.00
2024-10,DOGE/USDT,-610.66,0.00,-61.68,0.00
2024-10,ETH/USDT,-5277.99,0.00,-533.13,0.00
2024-10,SOL/USDT,750.25,0.00,75.78,0.00
2024-10,TRX/USDT,4158.42,0.00,420.04,0.00
2024-10,XRP/USDT,-4668.83,0.00,-471.60,0.00
2024-11,1000PEPE/USDT,14269.10,0.00,1441.32,0.00
2024-11,1000SHIB/USDT,3776.51,0.00,381.47,0.00
2024-11,AVAX/USDT,4174.44,0.00,421.66,0.00
2024-11,BNB/USDT,-1449.76,0.00,-146.44,0.00
2024-11,BTC/USDT,8461.34,0.00,854.68,0.00
2024-11,DOGE/USDT,21678.41,0.00,2189.74,0.00
2024-11,ETH/USDT,2832.87,0.00,286.15,0.00
2024-11,SOL/USDT,2911.58,0.00,294.10,0.00
2024-11,TRX/USDT,6187.01,0.00,624.95,0.00
2024-11,XRP/USDT,-3.94,0.00,-0.40,0.00
2024-12,1000PEPE/USDT,19165.78,0.00,1935.94,0.00
2024-12,1000SHIB/USDT,5065.53,0.00,511.67,0.00
2024-12,AVAX/USDT,13005.13,0.00,1313.65,0.00
2024-12,BNB/USDT,-4640.09,0.00,-468.70,0.00
2024-12,BTC/USDT,15815.94,0.00,1597.57,0.00
2024-12,DOGE/USDT,71836.46,0.00,7256.21,0.00
2024-12,ETH/USDT,8779.84,0.00,886.85,0.00
2024-12,SOL/USDT,8536.28,0.00,862.25,0.00
2024-12,TRX/USDT,45809.88,0.00,4627.26,0.00
2024-12,XRP/USDT,199401.19,0.00,20141.53,0.00
2025-01,1000PEPE/USDT,-1426.98,0.00,-144.14,0.00
2025-01,1000SHIB/USDT,-2049.04,0.00,-206.97,0.00
2025-01,AVAX/USDT,-1461.55,0.00,-147.63,0.00
2025-01,BNB/USDT,-1390.27,0.00,-140.43,0.00
2025-01,BTC/USDT,6614.35,0.00,668.12,0.00
2025-01,DOGE/USDT,-3174.49,0.00,-320.66,0.00
2025-01,ETH/USDT,463.55,0.00,46.82,0.00
2025-01,SOL/USDT,-1080.81,0.00,-109.17,0.00
2025-01,TRX/USDT,-628.39,0.00,-63.47,0.00
2025-01,XRP/USDT,2536.91,0.00,256.25,0.00
2025-02,1000PEPE/USDT,0.00,0.00,0.00,0.00
2025-02,1000SHIB/USDT,-511.78,0.00,-51.70,0.00
2025-02,AVAX/USDT,0.00,0.00,0.00,0.00
2025-02,BNB/USDT,-1788.98,0.00,-180.70,0.00
2025-02,BTC/USDT,-1432.45,0.00,-144.69,0.00
2025-02,DOGE/USDT,-209.87,0.00,-21.20,0.00
2025-02,ETH/USDT,0.00,0.00,0.00,0.00
2025-02,SOL/USDT,0.00,0.00,0.00,0.00
2025-02,TRX/USDT,-196.12,0.00,-19.81,0.00
2025-02,XRP/USDT,78237.18,0.00,7902.75,0.00
2025-03,1000PEPE/USDT,-2456.95,0.00,-248.18,0.00
2025-03,1000SHIB/USDT,-2579.54,0.00,-260.56,0.00
2025-03,AVAX/USDT,-3891.54,0.00,-393.09,0.00
2025-03,BNB/USDT,-518.12,0.00,-52.34,0.00
2025-03,BTC/USDT,-2512.07,0.00,-253.74,0.00
2025-03,DOGE/USDT,-2095.27,0.00,-211.64,0.00
2025-03,ETH/USDT,-1225.56,0.00,-123.79,0.00
2025-03,SOL/USDT,-2898.29,0.00,-292.76,0.00
2025-03,TRX/USDT,-449.37,0.00,-45.39,0.00
2025-03,XRP/USDT,-5212.88,0.00,-526.55,0.00
2025-04,1000PEPE/USDT,680.09,0.00,68.70,0.00
2025-04,1000SHIB/USDT,-1103.45,0.00,-111.46,0.00
2025-04,AVAX/USDT,6.86,0.00,0.69,0.00
2025-04,BNB/USDT,-788.55,0.00,-79.65,0.00
2025-04,BTC/USDT,1017.00,0.00,102.73,0.00
2025-04,DOGE/USDT,-961.60,0.00,-97.13,0.00
2025-04,ETH/USDT,198.68,0.00,20.07,0.00
2025-04,SOL/USDT,1542.84,0.00,155.84,0.00
2025-04,TRX/USDT,-1844.96,0.00,-186.36,0.00
2025-04,XRP/USDT,-171.21,0.00,-17.29,0.00
2025-05,1000PEPE/USDT,2080.14,0.00,210.11,0.00
2025-05,1000SHIB/USDT,-5667.88,0.00,-572.51,0.00
2025-05,AVAX/USDT,-4567.20,0.00,-461.33,0.00
2025-05,BNB/USDT,248.67,0.00,25.12,0.00
2025-05,BTC/USDT,3421.92,0.00,345.65,0.00
2025-05,DOGE/USDT,-1601.16,0.00,-161.73,0.00
2025-05,ETH/USDT,6365.84,0.00,643.01,0.00
2025-05,SOL/USDT,2334.97,0.00,235.86,0.00
2025-05,TRX/USDT,1738.85,0.00,175.64,0.00
2025-05,XRP/USDT,-1344.90,0.00,-135.85,0.00
2025-06,1000PEPE/USDT,-1646.66,0.00,-166.33,0.00
2025-06,1000SHIB/USDT,-927.67,0.00,-93.70,0.00
2025-06,AVAX/USDT,-1633.45,0.00,-165.00,0.00
2025-06,BNB/USDT,-2259.47,0.00,-228.23,0.00
2025-06,BTC/USDT,1695.28,0.00,171.24,0.00
2025-06,DOGE/USDT,-750.67,0.00,-75.83,0.00
2025-06,ETH/USDT,-883.05,0.00,-89.20,0.00
2025-06,SOL/USDT,-1520.13,0.00,-153.55,0.00
2025-06,TRX/USDT,-566.05,0.00,-57.18,0.00
2025-06,XRP/USDT,-1335.76,0.00,-134.93,0.00
2025-07,1000PEPE/USDT,1038.01,0.00,104.85,0.00
2025-07,1000SHIB/USDT,1801.53,0.00,181.97,0.00
2025-07,AVAX/USDT,5148.44,0.00,520.04,0.00
2025-07,BNB/USDT,9461.34,0.00,955.69,0.00
2025-07,BTC/USDT,4374.84,0.00,441.90,0.00
2025-07,DOGE/USDT,3785.80,0.00,382.40,0.00
2025-07,ETH/USDT,7741.16,0.00,781.93,0.00
2025-07,SOL/USDT,4357.36,0.00,440.14,0.00
2025-07,TRX/USDT,5904.30,0.00,596.39,0.00
2025-07,XRP/USDT,14175.50,0.00,1431.87,0.00
2025-08,1000PEPE/USDT,-2075.93,0.00,-209.69,0.00
2025-08,1000SHIB/USDT,-2038.10,0.00,-205.87,0.00
2025-08,AVAX/USDT,-7099.06,0.00,-717.08,0.00
2025-08,BNB/USDT,2523.23,0.00,254.87,0.00
2025-08,BTC/USDT,-2816.72,0.00,-284.52,0.00
2025-08,DOGE/USDT,-662.68,0.00,-66.94,0.00
2025-08,ETH/USDT,4194.29,0.00,423.67,0.00
2025-08,SOL/USDT,-5576.83,0.00,-563.32,0.00
2025-08,TRX/USDT,5478.52,0.00,553.39,0.00
2025-08,XRP/USDT,4185.55,0.00,422.78,0.00
2025-09,1000PEPE/USDT,0.00,0.00,0.00,0.00
2025-09,1000SHIB/USDT,0.00,0.00,0.00,0.00
2025-09,AVAX/USDT,0.00,0.00,0.00,0.00
2025-09,BNB/USDT,-1327.08,0.00,-134.05,0.00
2025-09,BTC/USDT,0.00,0.00,0.00,0.00
2025-09,DOGE/USDT,-0.77,0.00,-0.08,0.00
2025-09,ETH/USDT,4899.33,0.00,494.88,0.00
2025-09,SOL/USDT,-890.83,0.00,-89.98,0.00
2025-09,TRX/USDT,3996.38,0.00,403.67,0.00
2025-09,XRP/USDT,0.00,0.00,0.00,0.00
